item_id,item_type,a,b,item_name
53,likert,[-0.00180321  0.0075727 ],[ 0.04922411 -0.01942415 -0.05653709 -0.68028957  0.15363045  0.08878618],TIPI6
54,likert,[0.0732122  0.07006463],[-0.36826494 -0.56791335 -0.59212893 -0.86534435 -0.43549755 -0.02453323],TIPI7
55,likert,[0.00772406 0.02667372],[ 0.3880692   0.3697323   0.24303769 -0.51795465  0.8663436   0.61436075],TIPI8
56,likert,[0.06192523 0.05117833],[-0.48832756 -0.6926295  -0.1423668  -0.47507808 -0.3147695   0.391754  ],TIPI9
57,likert,[ 0.00795907 -0.02530179],[0.28152716 0.28760967 0.1923512  0.20721647 0.6360098  0.5461472 ],TIPI10
58,binary,[-0.04577394  0.06389362],-2.1286345,VCL1
59,binary,[-0.01933484  0.10750372],-1.1765872,VCL2
60,binary,[0.04459853 0.17455275],0.8853006,VCL3
61,binary,[-0.03139327  0.07446546],-2.1467474,VCL4
62,binary,[0.03023086 0.13304137],-1.6665477,VCL5
63,binary,[0.08809074 0.13463631],2.217474,VCL6
64,binary,[0.11497724 0.2084977 ],1.6664737,VCL7
65,binary,[0.076983   0.19557069],0.94349056,VCL8
66,binary,[0.16653094 0.18328261],2.4017105,VCL9
67,binary,[0.07871798 0.16420779],-2.209722,VCL10
68,binary,[0.09302934 0.20923038],1.8439428,VCL11
69,binary,[0.1205348  0.16474234],1.9213089,VCL12
70,binary,[-0.00636462  0.14487247],0.20864764,VCL13
71,binary,[-0.05365367  0.07446176],-0.88898,VCL14
72,binary,[-0.08862112  0.01410068],-1.9537166,VCL15
73,binary,[-0.02802429  0.01611984],-2.5652137,VCL16
